"","STNAME","CTYNAME","YEAR","state_po","totalvotes","county_fips","DEMOCRAT","OTHER","REPUBLICAN","winner","percent_rep","age","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","TOM_MALE","TOM_FEMALE","NH_MALE","NH_FEMALE","H_MALE","H_FEMALE","MINORITY_MALE","MINORITY_FEMALE"
"98","IDAHO","TETON",2016,"ID",4976,16081,2159,650,2167,"R",0.500924641701341,"ages 35-64",4832,2526,2306,2457,2234,9,9,17,18,12,19,26,21,2191,1992,335,314,69,72
"99","IDAHO","TETON",2016,"ID",4976,16081,2159,650,2167,"R",0.500924641701341,"ages 65+",1155,603,552,593,544,0,0,4,1,1,2,5,5,577,534,26,18,10,8
"100","IDAHO","TETON",2016,"ID",4976,16081,2159,650,2167,"R",0.500924641701341,"total",11179,5863,5316,5704,5124,19,24,45,53,22,39,63,65,4895,4444,968,872,159,192
"101","IDAHO","TETON",2020,"ID",6347,16081,3318,171,2858,"D",0.462759067357513,"ages 15-34",2910,1577,1333,1523,1270,13,9,12,14,9,12,16,25,1197,1041,380,292,54,63
"102","IDAHO","TETON",2020,"ID",6347,16081,3318,171,2858,"D",0.462759067357513,"ages 35-64",5513,2863,2650,2775,2558,13,14,19,16,16,24,37,34,2474,2288,389,362,88,92
"103","IDAHO","TETON",2020,"ID",6347,16081,3318,171,2858,"D",0.462759067357513,"ages 65+",1641,853,788,838,772,0,0,6,6,3,2,6,7,807,767,46,21,15,16
"104","IDAHO","TETON",2020,"ID",6347,16081,3318,171,2858,"D",0.462759067357513,"total",12501,6526,5975,6311,5734,31,30,57,60,35,51,84,90,5419,5022,1107,953,215,241
"105","ILLINOIS","KENDALL",2016,"IL",53447,17093,24884,3602,24961,"R",0.50077239442271,"ages 15-34",32305,16118,16187,13884,13855,1358,1304,104,100,400,525,358,394,12282,12552,3836,3635,2234,2332
"106","ILLINOIS","KENDALL",2016,"IL",53447,17093,24884,3602,24961,"R",0.50077239442271,"ages 35-64",50056,24719,25337,21801,22161,1733,1857,130,117,822,947,224,241,20938,21691,3781,3646,2918,3176
"107","ILLINOIS","KENDALL",2016,"IL",53447,17093,24884,3602,24961,"R",0.50077239442271,"ages 65+",11926,5338,6588,4997,6135,163,222,21,17,137,176,20,36,4989,6131,349,457,341,453
"108","ILLINOIS","KENDALL",2016,"IL",53447,17093,24884,3602,24961,"R",0.50077239442271,"total",124549,61761,62788,53952,54652,4388,4428,315,297,1823,2122,1250,1251,50399,51824,11362,10964,7809,8136
"109","ILLINOIS","KENDALL",2020,"IL",63974,17093,33168,1314,29492,"D",0.470667092243856,"ages 15-34",33697,17079,16618,14333,13814,1603,1585,140,126,514,607,470,474,12398,12364,4681,4254,2746,2804
"110","ILLINOIS","KENDALL",2020,"IL",63974,17093,33168,1314,29492,"D",0.470667092243856,"ages 35-64",53053,26362,26691,22698,22829,2184,2291,161,174,994,1103,308,276,21352,22011,5010,4680,3664,3862
"111","ILLINOIS","KENDALL",2020,"IL",63974,17093,33168,1314,29492,"D",0.470667092243856,"ages 65+",14407,6330,8077,5814,7353,257,370,25,32,200,264,34,51,5838,7398,492,679,516,724
"112","ILLINOIS","KENDALL",2020,"IL",63974,17093,33168,1314,29492,"D",0.470667092243856,"total",130638,64783,65855,55259,55964,5342,5529,415,413,2220,2457,1494,1436,50757,52584,14026,13271,9524,9891
"113","ILLINOIS","MCLEAN",2016,"IL",79835,17113,36196,6402,37237,"R",0.507088093908733,"ages 15-34",59506,29014,30492,23372,24912,2653,2795,98,101,2072,1893,796,780,27318,28811,1696,1681,5642,5580
"114","ILLINOIS","MCLEAN",2016,"IL",79835,17113,36196,6402,37237,"R",0.507088093908733,"ages 35-64",60851,29850,31001,25721,26941,2079,2226,88,78,1649,1440,297,303,28655,29955,1195,1046,4129,4060
"115","ILLINOIS","MCLEAN",2016,"IL",79835,17113,36196,6402,37237,"R",0.507088093908733,"ages 65+",21213,9391,11822,8865,11183,290,375,20,25,175,169,40,68,9274,11681,117,141,526,639
"116","ILLINOIS","MCLEAN",2016,"IL",79835,17113,36196,6402,37237,"R",0.507088093908733,"total",173157,84260,88897,70176,74842,6634,6962,320,306,5028,4654,2045,2097,80017,84787,4243,4110,14084,14055
"117","ILLINOIS","MCLEAN",2020,"IL",87002,17113,43933,2567,40502,"D",0.479682596079825,"ages 15-34",57821,28073,29748,22653,24186,2773,3050,85,94,1644,1515,902,888,26284,27891,1789,1857,5420,5562
"118","ILLINOIS","MCLEAN",2020,"IL",87002,17113,43933,2567,40502,"D",0.479682596079825,"ages 35-64",59133,29021,30112,24749,25900,2197,2353,87,83,1649,1429,326,330,27729,28923,1292,1189,4272,4212
"119","ILLINOIS","MCLEAN",2020,"IL",87002,17113,43933,2567,40502,"D",0.479682596079825,"ages 65+",24364,10801,13563,10129,12739,413,506,27,26,169,210,58,78,10631,13376,170,187,672,824
"120","ILLINOIS","MCLEAN",2020,"IL",87002,17113,43933,2567,40502,"D",0.479682596079825,"total",171256,83022,88234,68997,74006,7100,7607,299,302,4401,4118,2174,2154,78540,83778,4482,4456,14025,14228
"121","INDIANA","TIPPECANOE",2016,"IN",62515,18157,27282,4465,30768,"R",0.530025839793282,"ages 15-34",79929,43568,36361,33297,29171,2215,2392,136,99,6922,3945,968,726,40562,33512,3006,2849,10271,7190
